LABEL TYPE|LABEL CODE|LABEL DESCRIPTION|LABEL SIZE|LABEL QUANTITY|ARTICLE NUMBER|VENDOR NUM|COLOR CODE|COLOR DESCRIPTION|CARE SYMBOLS CODE 1|CARE SYMBOLS CODE 2|CARE SYMBOLS CODE 3|CARE SYMBOLS CODE 4|CARE SYMBOLS CODE 5|CARE SYMBOLS CODE 6|CARE SYMBOLS CODE 7|EAN-CODE|BATCH NUMBER|STYLE DESCRIPTION (EN)|STYLE DESCRIPTION (FR)|SHAPE|PRODUCT LINE|BRAND|MAIN MATERIAL DESCRIPTION|COU|PO-NUMBER|SEAS|CO|SIZE CODE|SIZE DESCRIPTION|CARE INSTRUCTION 1|CARE INSTRUCTION 2|CARE INSTRUCTION 3|CARE INSTRUCTION 4|CARE INSTRUCTION 5|CARE INSTRUCTION 6|CARE INSTRUCTION 7|Declaration Group 1|DG1 - Comp Desc 1|DG1 - Comp %Age 1|DG1 - Comp Desc 2|DG1 - Comp %Age 2|DG1 - Comp Desc 3|DG1 - Comp %Age 3|DG1 - Comp Desc 4|DG1 - Comp %Age 4|DG1 - Comp Desc 5|DG1 - Comp %Age 5|DG1 - Comp Desc 6|DG1 - Comp %Age 6|DG1 - Comp Desc 7|DG1 - Comp %Age 7|DG1 - Comp Desc 8|DG1 - Comp %Age 8|Declaration Group 2|DG2 - Comp Desc 1|DG2 - Comp %Age 1|DG2 - Comp Desc 2|DG2 - Comp %Age 2|DG2 - Comp Desc 3|DG2 - Comp %Age 3|DG2 - Comp Desc 4|DG2 - Comp %Age 4|DG2 - Comp Desc 5|DG2 - Comp %Age 5|DG2 - Comp Desc 6|DG2 - Comp %Age 6|DG2 - Comp Desc 7|DG2 - Comp %Age 7|DG2 - Comp Desc 8|DG2 - Comp %Age 8|Declaration Group 3|DG3 - Comp Desc 1|DG3 - Comp %Age 1|DG3 - Comp Desc 2|DG3 - Comp %Age 2|DG3 - Comp Desc 3|DG3 - Comp %Age 3|DG3 - Comp Desc 4|DG3 - Comp %Age 4|DG3 - Comp Desc 5|DG3 - Comp %Age 5|DG3 - Comp Desc 6|DG3 - Comp %Age 6|DG3 - Comp Desc 7|DG3 - Comp %Age 7|DG3 - Comp Desc 8|DG3 - Comp %Age 8|Declaration Group 4|DG4 - Comp Desc 1|DG4 - Comp %Age 1|DG4 - Comp Desc 2|DG4 - Comp %Age 2|DG4 - Comp Desc 3|DG4 - Comp %Age 3|DG4 - Comp Desc 4|DG4 - Comp %Age 4|DG4 - Comp Desc 5|DG4 - Comp %Age 5|DG4 - Comp Desc 6|DG4 - Comp %Age 6|DG4 - Comp Desc 7|DG4 - Comp %Age 7|DG4 - Comp Desc 8|DG4 - Comp %Age 8|Declaration Group 5|DG5 - Comp Desc 1|DG5 - Comp %Age 1|DG5 - Comp Desc 2|DG5 - Comp %Age 2|DG5 - Comp Desc 3|DG5 - Comp %Age 3|DG5 - Comp Desc 4|DG5 - Comp %Age 4|DG5 - Comp Desc 5|DG5 - Comp %Age 5|DG5 - Comp Desc 6|DG5 - Comp %Age 6|DG5 - Comp Desc 7|DG5 - Comp %Age 7|DG5 - Comp Desc 8|DG5 - Comp %Age 8|Declaration Group 6|DG6 - Comp Desc 1|DG6 - Comp %Age 1|DG6 - Comp Desc 2|DG6 - Comp %Age 2|DG6 - Comp Desc 3|DG6 - Comp %Age 3|DG6 - Comp Desc 4|DG6 - Comp %Age 4|DG6 - Comp Desc 5|DG6 - Comp %Age 5|DG6 - Comp Desc 6|DG6 - Comp %Age 6|DG6 - Comp Desc 7|DG6 - Comp %Age 7|DG6 - Comp Desc 8|DG6 - Comp %Age 8|Declaration Group 7|DG7 - Comp Desc 1|DG7 - Comp %Age 1|DG7 - Comp Desc 2|DG7 - Comp %Age 2|DG7 - Comp Desc 3|DG7 - Comp %Age 3|DG7 - Comp Desc 4|DG7 - Comp %Age 4|DG7 - Comp Desc 5|DG7 - Comp %Age 5|DG7 - Comp Desc 6|DG7 - Comp %Age 6|DG7 - Comp Desc 7|DG7 - Comp %Age 7|DG7 - Comp Desc 8|DG7 - Comp %Age 8|Declaration Group 8|DG8 - Comp Desc 1|DG8 - Comp %Age 1|DG8 - Comp Desc 2|DG8 - Comp %Age 2|DG8 - Comp Desc 3|DG8 - Comp %Age 3|DG8 - Comp Desc 4|DG8 - Comp %Age 4|DG8 - Comp Desc 5|DG8 - Comp %Age 5|DG8 - Comp Desc 6|DG8 - Comp %Age 6|DG8 - Comp Desc 7|DG8 - Comp %Age 7|DG8 - Comp Desc 8|DG8 - Comp %Age 8|TEXT 1|TEXT 2|TEXT 3|Care Instruction 1|Care Instruction 2|Care Instruction 3|Care Instruction 6|Care Instruction 4|Care Instruction 5|Chinese SIZE|DG1-CIQ1|DG1-CIQ2|DG2-CIQ1|DG2-CIQ2|DG3-CIQ1|DG3-CIQ2|DG4-CIQ1|DG4-CIQ2|DG5-CIQ1|DG5-CIQ2|DG6-CIQ1|DG6-CIQ2|DG7-CIQ1|DG7-CIQ2|DG8-CIQ1|DG8-CIQ2|DGX-CIQ1|DGX-CIQ2|DG1 - SUBCAT|DG2 - SUBCAT|DG3 - SUBCAT|DG4 - SUBCAT|DG5 - SUBCAT|DG6 - SUBCAT|DG7 - SUBCAT|DG8 - SUBCAT|DG Padding - MW1|DG Padding - MW2|DG Padding - MW3|DG Padding - MW4|DG Padding - MW5|DG Padding - MW6|DG Padding - MW7|DG Padding - MW8|DG1-SPECIES|DG1-TANNING|DG1-GROW ORIGIN|DG1-MATNAME|DG2-SPECIES|DG2-TANNING|DG2-GROW ORIGIN|DG2-MATNAME|DG3-SPECIES|DG3-TANNING|DG3-GROW ORIGIN|DG3-MATNAME|DG4-SPECIES|DG4-TANNING|DG4-GROW ORIGIN|DG4-MATNAME|DG5-SPECIES|DG5-TANNING|DG5-GROW ORIGIN|DG5-MATNAME|DG6-SPECIES|DG6-TANNING|DG6-GROW ORIGIN|DG6-MATNAME|DG7-SPECIES|DG7-TANNING|DG7-GROW ORIGIN|DG7-MATNAME|DG8-SPECIES|DG8-TANNING|DG8-GROW ORIGIN|DG8-MATNAME|SALESLINE_DESC|MAT_CODE_DESC|GENERIC_CODE|GENERIC_DESC|MDSE CAT|ORDER REASON H.|Down/Feather|Korean size|||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|150|CHC22AP237I266J5|0000728566|6J5|Cement Pink||||||||7614027071733|IT00|MINI TOTE, Cement Pink, Single size|MINI TOTE, Cement Pink, Single size|PE|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|153|80%|107|20%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3000||||3002|||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AP237I26|MINI TOTE|CH0102003||||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|500|CHC22AP237I2690U|0000728566|90U|White - Brown 1||||||||7613386449252|IT00|MINI TOTE, White - Brown 1, Single size|MINI TOTE, White - Brown 1, Single size|PE|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|153|80%|107|20%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3000||||3002|||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AP237I26|MINI TOTE|CH0102003||||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|200|CHC22AP237I2691J|0000728566|91J|White - Blue 1||||||||7613386446497|IT00|MINI TOTE, White - Blue 1, Single size|MINI TOTE, White - Blue 1, Single size|PE|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|153|80%|107|20%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3000||||3002|||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AP237I26|MINI TOTE|CH0102003||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|500|CHC22AS383I266J5|0000728566|6J5|Cement Pink||||||||7614027129526|IT00|MEDIUM TOTE BA, Cement Pink, Single size|MEDIUM TOTE BA, Cement Pink, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS383I26|MEDIUM TOTE BAG|CH0102002||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|1300|CHC22AS383I2690U|0000728566|90U|White - Brown 1||||||||7613386445490|IT00|MEDIUM TOT, White - Brown 1, Single size|MEDIUM TOT, White - Brown 1, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS383I26|MEDIUM TOTE BAG|CH0102002||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|400|CHC22AS383I2691J|0000728566|91J|White - Blue 1||||||||7613386448002|IT00|MEDIUM TOTE, White - Blue 1, Single size|MEDIUM TOTE, White - Blue 1, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075527|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS383I26|MEDIUM TOTE BAG|CH0102002||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|400|CHC22AS397I266J5|0000661640|6J5|Cement Pink||||||||7614027127447|IT00|SMALL TOTE WIT, Cement Pink, Single size|SMALL TOTE WIT, Cement Pink, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075530|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS397I26|SMALL TOTE WITH STRA|CH0102002||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|900|CHC22AS397I2690U|0000661640|90U|White - Brown 1||||||||7613386448101|IT00|SMALL TOTE, White - Brown 1, Single size|SMALL TOTE, White - Brown 1, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075530|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS397I26|SMALL TOTE WITH STRA|CH0102002||||||||||||||||||||||||
CARE|A|Chloé 50mm|50*50|150|CHC22AS397I2691J|0000661640|91J|White - Blue 1||||||||7613386448118|IT00|SMALL TOTE, White - Blue 1, Single size|SMALL TOTE, White - Blue 1, Single size|SP|X|CHL|CHLO? LOGO WEBBING, LINEN CANVAS & CALFS|IT|6021075530|CH24|U|TU|||||||||005|153|100%|||||||||||||||010|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||450|123|100%||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||||3002|BOS TAURUS|02|IE|5028||||3000||||3002||||3809|||||||||||||WOODY|CHLO? LOGO WEBBING,|CHC22AS397I26|SMALL TOTE WITH STRA|CH0102002||||||||||||||||||||||||
CARE|B|Chloé 42mm|42*42|113|CHC23UP237I60001|0000661640|001|Black|Z|O|M|U|D|A|C|7613386951694|IT00|MINI TOTE, Black, Single size|MINI TOTE, Black, Single size|PE|C|CHL|SMOOTH CALFSKIN & CHLO? LOGO EMBROIDERY|IT|6021075530|CH24|U|TU||Do Not Wash|Do not bleach|Do not Iron|Do not dry clean|Do not Tumble Dry|Do not wet clean|Flat drying|005|106|100%|||||||||||||||020|153|68%|107|32%|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||GE||||||||||||||||BOS TAURUS|02|GB|5028||||3000||||3002|||||||||||||||||||||WOODY|SMOOTH CALFSKIN & CH|CHC23UP237I60|MINI TOTE|CH0102003||||||||||||||||||||||||
